爱,ài
八,bā
爸爸,bàbà
杯子,bēizi
北京,běijīng
本,běn
不,bù
不客气,bùkèqì
菜,cài
茶,chá
吃,chī
出租车,chūzūchē
打电话,dǎdiànhuà
大,dà
的,dē
点,diǎn
电脑,diànnǎo
电视,diànshì
电影,diànyǐng
东西,dōngxī
都,dōu
读,dú
对不起,duìbùqǐ
多,duō
多少,duōshǎo
儿子,érzi
二,èr
饭馆,fànguǎn
飞机,fēijī
分钟,fēnzhōng
高兴,gāoxìng
个,gè
工作,gōngzuò
狗,gǒu
汉语,hànyǔ
好,hǎo
喝,hē
和,hé
很,hěn
后面,hòumiàn
回,huí
会,huì
火车站,huǒchēzhàn
几,jǐ
家,jiā
叫,jiào
今天,jīntiān
九,jiǔ
开,kāi
看,kàn
看见,kànjiàn
块,kuài
来,lái
老师,lǎoshī
了,le
冷,lěng
里,lǐ
零,líng
六,liù
妈妈,māmā
吗,ma
买,mǎi
猫,māo
没,méi
没关系,méiguānxì
米饭,mǐfàn
明天,míngtiān
名字,míngzì
哪,nǎ
哪儿,nǎér
那,nà
那儿,nàér
呢,ne
能,néng
你,nǐ
年,nián
女儿,nǚér
朋友,péngyǒu
漂亮,piàoliàng
苹果,píngguǒ
七,qī
钱,qián
前面,qiánmiàn
请,qǐng
去,qù
热,rè
人,rén
认识,rènshi
日,rì
三,sān
商店,shāngdiàn
上,shàng
上午,shàngwǔ
少,shǎo
谁,shuí
什么,shénme
十,shí
时候,shíhòu
是,shì
书,shū
水,shuǐ
水果,shuǐguǒ
睡觉,shuìjiào
说话,shuōhuà
四,sì
岁,suì
他,tā
她,tā
太,tài
天气,tiānqì
听,tīng
同学,tóngxué
喂,wèi
我,wǒ
我们,wǒmen
五,wǔ
喜欢,xǐhuān
下,xià
下午,xiàwǔ
下雨,xiàyǔ
先生,xiānshēng
现在,xiànzài
想,xiǎng
小,xiǎo
小姐,xiǎojiě
些,xiē
写,xiě
谢谢,xièxiè
星期,xīngqī
学生,xuéshēng
学习,xuéxí
学校,xuéxiào
一,yī
衣服,yīfú
医生,yīshēng
医院,yīyuàn
椅子,yǐzi
有,yǒu
月,yuè
在,zài
再见,zàijiàn
怎么,zěnme
怎么样,zěnmeyàng
这,zhè
这儿,zhèér
中国,zhōngguó
中午,zhōngwǔ
住,zhù
桌子,zhuōzi
字,zì
昨天,zuótiān
做,zuò
坐,zuò
吧,ba
白,bái
百,bǎi
帮助,bāngzhù
报纸,bàozhǐ
比,bǐ
别,bié
长,zhǎng
唱歌,chànggē
出,chū
穿,chuān
船,chuán
次,cì
从,cóng
错,cuò
打篮球,dǎlánqiú
大家,dàjiā
但是,dànshì
到,dào
得,dé
等,děng
弟弟,dìdi
第一,dìyī
懂,dǒng
对,duì
房间,fángjiān
非常,fēicháng
服务员,fúwùyuán
高,gāo
告诉,gàosù
哥哥,gēge
给,gěi
公共汽车,gōnggòngqìchē
公斤,gōngjīn
公司,gōngsī
贵,guì
过,guò
还,hái
孩子,háizi
好吃,hǎochī
号,hào
黑,hēi
红,hóng
欢迎,huānyíng
回答,huídá
机场,jīchǎng
鸡蛋,jīdàn
件,jiàn
教室,jiàoshì
姐姐,jiějie
介绍,jièshào
进,jìn
近,jìn
就,jiù
觉得,juéde
咖啡,kāfēi
开始,kāishǐ
考试,kǎoshì
可能,kěnéng
可以,kěyǐ
课,kè
快,kuài
快乐,kuàilè
累,lèi
离,lí
两,liǎng
路,lù
旅游,lǚyóu
卖,mài
慢,màn
忙,máng
每,měi
妹妹,mèimei
门,mén
男人,nánrén
您,nín
牛奶,niúnǎi
女人,nǚrén
旁边,pángbiān
跑步,pǎobù
便宜,piányí
票,piào
妻子,qīzǐ
起床,qǐchuáng
千,qiān
晴,qíng
去年,qùnián
让,ràng
上班,shàngbān
身体,shēntǐ
生病,shēngbìng
生日,shēngrì
时间,shíjiān
事情,shìqíng
手表,shǒubiǎo
手机,shǒujī
送,sòng
所以,suǒyǐ
它,tā
踢足球,tīzúqiú
题,tí
跳舞,tiàowǔ
外,wài
完,wán
玩,wán
晚上,wǎnshàng
为什么,wèishíme
问,wèn
问题,wèntí
西瓜,xīguā
希望,xīwàng
洗,xǐ
向,xiàng
小时,xiǎoshí
笑,xiào
新,xīn
姓,xìng
休息,xiūxī
雪,xuě
颜色,yánsè
眼睛,yǎnjīng
羊肉,yángròu
药,yào
要,yào
也,yě
已经,yǐjīng
一起,yìqǐ
意思,yìsī
阴,yīn
因为,yīnwèi
游泳,yóuyǒng
右边,yòubiān
鱼,yú
元,yuán
远,yuǎn
运动,yùndòng
再,zài
早上,zǎoshàng
张,zhāng
丈夫,zhàngfū
找,zhǎo
着,zhe
真,zhēn
正在,zhèngzài
知道,zhīdào
准备,zhǔnbèi
自行车,zìxíngchē
走,zǒu
最,zuì
左边,zuǒbiān
阿姨,āyí
啊,a
矮,ǎi
爱好,àihào
安静,ānjìng
把,bǎ
班,bān
搬,bān
半,bàn
办法,bànfǎ
办公室,bàngōngshì
帮忙,bāngmáng
包,bāo
饱,bǎo
北方,běifāng
被,bèi
鼻子,bízi
比较,bǐjiào
比赛,bǐsài
必须,bìxū
变化,biànhuà
表示,biǎoshì
表演,biǎoyǎn
别人,biérén
宾馆,bīnguǎn
冰箱,bīngxiāng
才,cái
菜单,càidān
参加,cānjiā
草,cǎo
层,céng
差,chà
超市,chāoshì
衬衫,chènshān
成绩,chéngjī
城市,chéngshì
迟到,chídào
出现,chūxiàn
厨房,chúfáng
除了,chúle
春,chūn
词语,cíyǔ
聪明,cōngmíng
打扫,dǎsǎo
打算,dǎsuàn
带,dài
担心,dānxīn
蛋糕,dàngāo
当然,dāngrán
地,dì
灯,dēng
低,dī
地方,dìfāng
地铁,dìtiě
地图,dìtú
电梯,diàntī
电子邮件,diànzǐyóujiàn
东,dōng
冬,dōng
动物,dòngwù
短,duǎn
段,duàn
锻炼,duànliàn
多么,duōme
饿,è
而且,érqiě
耳朵,ěrduǒ
发烧,fāshāo
发现,fāxiàn
方便,fāngbiàn
放,fàng
放心,fàngxīn
分,fēn
附近,fùjìn
复习,fùxí
干净,gānjìng
敢,gǎn
感冒,gǎnmào
刚才,gāngcái
跟,gēn
根据,gēnjù
更,gèng
公园,gōngyuán
故事,gùshì
刮风,guāfēng
关,guān
关系,guānxì
关心,guānxīn
关于,guānyú
国家,guójiā
果汁,guǒzhī
过去,guòqù
还是,háishì
害怕,hàipà
河,hé
黑板,hēibǎn
